ID		from		to
328	;	002880 KS	;	GM US
329	;	002970 CH	;	000818 CH
330	;	002970 CH	;	002357 CH
331	;	002970 CH	;	200761 CH
332	;	004100 KS	;	005380 KS
333	;	004100 KS	;	012330 KS
334	;	004100 KS	;	066570 KS
335	;	004100 KS	;	204320 KS
336	;	005850 KS	;	600741 CH
337	;	006660 KS	;	006260 KS
338	;	006660 KS	;	DE US
339	;	006660 KS	;	TTMT IN
340	;	007860 KS	;	000270 KS
341	;	007860 KS	;	005380 KS
342	;	009680 KS	;	000270 KS
343	;	009680 KS	;	005380 KS
344	;	010100 KS	;	009540 KS
345	;	010100 KS	;	010130 KS
346	;	010580 KS	;	000270 KS
347	;	010580 KS	;	005380 KS
348	;	010580 KS	;	011210 KS
349	;	010580 KS	;	012330 KS
350	;	010580 KS	;	086280 KS
351	;	010690 KS	;	012330 KS
352	;	011210 KS	;	064350 KS
353	;	011210 KS	;	212560 KS
354	;	011210 KS	;	SAF FP
355	;	011320 KS	;	000270 KS
356	;	011320 KS	;	003620 KS
357	;	011320 KS	;	005380 KS
358	;	011320 KS	;	GM US
359	;	012330 KS	;	000270 KS
360	;	012330 KS	;	001500 KS
361	;	012330 KS	;	010100 KS
362	;	012330 KS	;	064350 KS
363	;	012330 KS	;	175 HK
364	;	012330 KS	;	212560 KS
365	;	012330 KS	;	214320 KS
366	;	012330 KS	;	7270 JP
367	;	012330 KS	;	8058 JP
368	;	012330 KS	;	GM US
369	;	012330 KS	;	STLA US
370	;	012330 KS	;	UG FP
371	;	012860 KS	;	000270 KS
372	;	012860 KS	;	005380 KS
373	;	012860 KS	;	204320 KS
374	;	012860 KS	;	600151 CH
375	;	012860 KS	;	GM US
376	;	012860 KS	;	RNO FP
377	;	013310 KS	;	009320 KS
378	;	013310 KS	;	018880 KS
379	;	013720 KS	;	010580 KS
380	;	013720 KS	;	011210 KS
381	;	013720 KS	;	042670 KS
382	;	013720 KS	;	BWA US
383	;	013720 KS	;	DAI GR
384	;	013720 KS	;	ETN US
385	;	013720 KS	;	GM US
386	;	013870 KS	;	005380 KS
387	;	013870 KS	;	011210 KS
388	;	015750 KS	;	000270 KS
389	;	015750 KS	;	005380 KS
390	;	018880 KS	;	000270 KS
391	;	018880 KS	;	003620 KS
392	;	018880 KS	;	005380 KS
393	;	018880 KS	;	012330 KS
394	;	018880 KS	;	200550 CH
395	;	018880 KS	;	600960 CH
396	;	018880 KS	;	BMW GR
397	;	018880 KS	;	DAI GR
398	;	018880 KS	;	F US
399	;	018880 KS	;	GM US
400	;	018880 KS	;	MSIL IN
401	;	018880 KS	;	RNO FP
402	;	018880 KS	;	STLA US
403	;	018880 KS	;	VOW GR
404	;	019180 KS	;	005380 KS
405	;	019180 KS	;	012330 KS
406	;	021820 KS	;	005380 KS
407	;	021820 KS	;	012330 KS
408	;	021820 KS	;	024900 KS
409	;	024830 KS	;	005380 KS
410	;	024830 KS	;	012330 KS
411	;	024830 KS	;	015750 KS
412	;	024830 KS	;	086280 KS
413	;	024840 KS	;	010120 KS
414	;	024900 KS	;	000270 KS
415	;	024900 KS	;	005380 KS
416	;	024900 KS	;	012330 KS
417	;	024900 KS	;	VC US
418	;	031510 KS	;	GM US
419	;	033530 KS	;	000270 KS
420	;	033530 KS	;	005380 KS
421	;	033530 KS	;	011210 KS
422	;	033530 KS	;	012330 KS
423	;	033530 KS	;	086280 KS
424	;	046070 KS	;	018880 KS
425	;	046070 KS	;	060980 KS
426	;	046070 KS	;	066570 KS
427	;	046070 KS	;	080470 KS
428	;	046070 KS	;	204320 KS
429	;	046070 KS	;	AXL US
430	;	046070 KS	;	BOS IN
431	;	046070 KS	;	BWA US
432	;	048430 KS	;	005160 KS
433	;	064960 KS	;	KBR US
434	;	071850 KS	;	000150 KS
435	;	071850 KS	;	005930 KS
436	;	071850 KS	;	012330 KS
437	;	071850 KS	;	066570 KS
438	;	071850 KS	;	BWA US
439	;	071850 KS	;	GTXMQ US
440	;	071850 KS	;	HON US
441	;	075180 KS	;	012330 KS
442	;	075180 KS	;	060980 KS
443	;	075180 KS	;	204320 KS
444	;	080470 KS	;	000270 KS
445	;	080470 KS	;	005380 KS
446	;	080470 KS	;	018880 KS
447	;	086250 KS	;	000270 KS
448	;	086250 KS	;	005380 KS
449	;	086250 KS	;	005490 KS
450	;	086250 KS	;	MM IN
451	;	088290 KS	;	000270 KS
452	;	088290 KS	;	005380 KS
453	;	088290 KS	;	012330 KS
454	;	090150 KS	;	000270 KS
455	;	090150 KS	;	005380 KS
456	;	090150 KS	;	RNO FP
457	;	092200 KS	;	000150 KS
458	;	092200 KS	;	000270 KS
459	;	092200 KS	;	003620 KS
460	;	092200 KS	;	005380 KS
461	;	092200 KS	;	009540 KS
462	;	092200 KS	;	011210 KS
463	;	092200 KS	;	012330 KS
464	;	092200 KS	;	175 HK
465	;	092200 KS	;	AXL US
466	;	092200 KS	;	CAT US
467	;	092200 KS	;	DAN US
468	;	092200 KS	;	DE US
469	;	092200 KS	;	GM US
470	;	092200 KS	;	HOG US
471	;	092200 KS	;	PII US
472	;	092200 KS	;	RNO FP
473	;	092200 KS	;	TTMT IN
474	;	092780 KS	;	086280 KS
475	;	092780 KS	;	DAI GR
476	;	105550 KS	;	010120 KS
477	;	105550 KS	;	BWA US
478	;	105550 KS	;	SMP US
479	;	107640 KS	;	EO FP
480	;	113810 KS	;	7201 JP
481	;	113810 KS	;	GM US
482	;	113810 KS	;	RNO FP
483	;	118990 KS	;	064350 KS
484	;	123040 KS	;	003620 KS
485	;	123410 KS	;	000270 KS
486	;	123410 KS	;	005380 KS
487	;	123410 KS	;	012330 KS
488	;	126640 KS	;	004020 KS
489	;	126640 KS	;	012330 KS
490	;	128540 KS	;	APTV US
491	;	128540 KS	;	LEO GR
492	;	130740 KS	;	RS US
493	;	1316 HK	;	000800 CH
494	;	1316 HK	;	1211 HK
495	;	1316 HK	;	1958 HK
496	;	1316 HK	;	200625 CH
497	;	1316 HK	;	2238 HK
498	;	1316 HK	;	2333 HK
499	;	1316 HK	;	489 HK
500	;	1316 HK	;	600104 CH
501	;	1316 HK	;	7201 JP
502	;	1316 HK	;	7203 JP
503	;	1316 HK	;	7211 JP
504	;	1316 HK	;	7269 JP
505	;	1316 HK	;	BMW GR
506	;	1316 HK	;	F US
507	;	1316 HK	;	GM US
508	;	1316 HK	;	MM IN
509	;	1316 HK	;	RNO FP
510	;	1316 HK	;	STLA US
511	;	1316 HK	;	UG FP
512	;	1316 HK	;	VOW GR
513	;	1338 TT	;	7256 JP
514	;	1338 TT	;	7282 JP
515	;	1338 TT	;	KKR US
516	;	1512 TT	;	2204 TT
517	;	1512 TT	;	LKQ US
518	;	1525 TT	;	2204 TT
519	;	1525 TT	;	7203 JP
520	;	1563 TT	;	BMW GR
521	;	1563 TT	;	STLA US
522	;	1563 TT	;	TTMT IN
523	;	1566 TT	;	5802 JP
524	;	1566 TT	;	BOS IN
525	;	170030 KS	;	005380 KS
526	;	170030 KS	;	ADNT US
527	;	170030 KS	;	JCI US
528	;	179 HK	;	600151 CH
529	;	200030 CH	;	PCAR US
530	;	200581 CH	;	2688 HK
531	;	200581 CH	;	601969 CH
532	;	200581 CH	;	603667 CH
533	;	200880 KS	;	000270 KS
534	;	200880 KS	;	005380 KS
535	;	204320 KS	;	000270 KS
536	;	204320 KS	;	005380 KS
537	;	204320 KS	;	011210 KS
538	;	204320 KS	;	012330 KS
539	;	204320 KS	;	175 HK
540	;	204320 KS	;	200625 CH
541	;	204320 KS	;	2333 HK
542	;	204320 KS	;	BMW GR
543	;	204320 KS	;	F US
544	;	204320 KS	;	GM US
545	;	204320 KS	;	MM IN
546	;	204320 KS	;	RNO FP
547	;	204320 KS	;	STLA US
548	;	204320 KS	;	TSLA US
