ID;	from;	to
452;	BASF SE;	Aspen Technology Inc
453;	Aspen Technology Inc;	BASF SE
454;	Azelis Americas Case LLC;	BASF SE
455;	BASF SE;	Diversey Inc
456;	Ecovadis SAS;	BASF SE
457;	BASF SE;	Equinor ASA
458;	BASF SE;	Monsanto Co
459;	BASF SE;	R Stahl AG
460;	AAR Corp;	BASF SE
461;	BASF SE;	BeyondSpring Inc
462;	Hexion Inc;	BASF SE
463;	Huntsman Corp;	BASF SE
464;	Mauser Group NV;	BASF SE
465;	Microtek Laboratories Inc;	BASF SE
466;	BASF SE;	Solenis LLC
467;	Worley Ltd;	BASF SE
468;	BASF SE;	M Holland Co
469;	THT Heat Transfer Technology Inc;	BASF SE
470;	Transportes Azkar SA;	BASF SE
471;	MATRIKON Deutschland GmbH;	BASF SE
472;	Nisshin Pharma Inc;	BASF SE
473;	Wintershall Dea AG;	BASF SE
474;	BASF SE;	Xinjiang Tianye Group Co Ltd
475;	L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA;	BASF SE
476;	BASF SE;	Robert Bosch GmbH
477;	BASF SE;	Solvay SA
478;	TriMas Corp;	BASF SE
479;	BASF SE;	Beijing Oriental Yuhong Waterproof Technology Co Ltd
480;	Ionis Pharmaceuticals Inc;	Bayer AG
481;	Vyne Pharmaceuticals Ltd;	Bayer AG
482;	Bayer AG;	Monsanto Co
483;	Bayer AG;	Ionis Pharmaceuticals Inc
484;	Genzyme Corp;	Bayer AG
485;	Atara Biotherapeutics Inc;	Bayer AG
486;	ImmunoGen Inc;	Bayer AG
487;	Monsanto Co;	Bayer AG
488;	Teva Pharmaceutical Industries Ltd;	Bayer AG
489;	Kimball International Inc;	Bayer AG
490;	Regeneron Pharmaceuticals Inc;	Bayer AG
491;	Bayer AG;	ImmunoGen Inc
492;	Perrigo Co;	Bayer AG
493;	Veeva Systems Inc;	Bayer AG
494;	Celonis GmbH;	Bayer AG
495;	Paragon Marketing Communication General Trading Co WLL;	Bayer AG
496;	Loxo Oncology Inc;	Bayer AG
497;	retarus GmbH;	Bayer AG
498;	Bayer AG;	Atara Biotherapeutics Inc
499;	Biogen Inc;	Bayer AG
500;	Bayer AG;	Merck & Co Inc
501;	Bayer AG;	Regeneron Pharmaceuticals Inc
502;	Bayer AG;	Sensyne Health PLC
503;	Bayer AG;	Bausch Health Companies Inc
504;	ExpertAi SpA;	Bayer AG
505;	Recursion Pharmaceuticals Inc;	Bayer AG
506;	Rivery Technology Ltd;	Bayer AG
507;	DocuSign Inc;	Bayer AG
508;	Grifols SA;	Bayer AG
509;	Qumu Corp;	Bayer AG
510;	Acura Pharmaceuticals Inc;	Bayer AG
511;	Air Liquide Far Eastern Ltd;	Bayer AG
512;	Bayer AG;	Biogen Inc
513;	Blujay Solutions Ltd;	Bayer AG
514;	Boston Scientific Corp;	Bayer AG
515;	Bayer AG;	Horizon Pharma Inc
516;	Kythera Biopharmaceuticals Inc;	Bayer AG
517;	Nektar Therapeutics;	Bayer AG
518;	OncoMed Pharmaceuticals Inc;	Bayer AG
519;	Rekoop Ltd;	Bayer AG
520;	Salesforce.Com Inc;	Bayer AG
521;	Capgemini SE;	Bayer AG
522;	Natco Pharma Ltd;	Bayer AG
523;	PeptiDream Inc;	Bayer AG
524;	Moberg Pharma AB (publ);	Bayer AG
525;	US Bioservices Corp;	Bayer AG
526;	Compugen Ltd;	Bayer AG
527;	Bayer AG;	SK Motor-Harant TDV
528;	Appian Corp;	Bayer AG
529;	Harman International Industries Inc;	BMW AG
530;	Magna International Inc;	BMW AG
531;	Samsung SDI Co Ltd;	BMW AG
532;	A123 Systems Inc;	BMW AG
533;	Contemporary Amperex Technology Co Ltd;	BMW AG
534;	BMW AG;	SAAB Automobile AB
535;	Hankook Tire & Technology Co Ltd;	BMW AG
536;	Steel Strips Wheels Ltd;	BMW AG
537;	ZF Friedrichshafen AG;	BMW AG
538;	IQGeo Group PLC;	BMW AG
539;	C & A Textiles Ltd;	BMW AG
540;	Constellium SE;	BMW AG
541;	Ganfeng Lithium Co Ltd;	BMW AG
542;	Inchcape PLC;	BMW AG
543;	NVIDIA Corp;	BMW AG
544;	Livent Corp;	BMW AG
545;	VDL Nedcar BV;	BMW AG
546;	Daimler AG;	BMW AG
547;	Glencore PLC;	BMW AG
548;	Innoviz Technologies Ltd;	BMW AG
549;	Xometry Inc;	BMW AG
550;	Hankook & Company Co Ltd;	BMW AG
551;	Visteon Corp;	BMW AG
552;	Garmin Ltd;	BMW AG
553;	Cooper-Standard Holdings Inc;	BMW AG
554;	GKN Ltd;	BMW AG
555;	Incadea Ltd;	BMW AG
556;	Amazon.com Inc;	BMW AG
557;	Lear Corp;	BMW AG
558;	SGL Carbon SE;	BMW AG
559;	BMW AG;	Audi AG
560;	BMW AG;	Northvolt AB
561;	BMW AG;	Rolls-Royce Motor Cars Ltd
562;	Nokia Oyj;	BMW AG
563;	TomTom NV;	BMW AG
564;	BMW AG;	Ganfeng Lithium Co Ltd
565;	Robert Bosch GmbH;	BMW AG
566;	SHL Liquidation Industries Inc;	BMW AG
